landmarkIndex,l,m,m,l_noise,m_noise,n_noise
0,3.8670019662563657,6.281533664900514,7.142040692511999,3.8301193986808966,6.166354911356536,7.279788999177231
1,0.3635327055938964,3.6625797656945625,2.9412642485274976,0.6020093048387068,3.827167738909097,2.8652768779038924
2,6.825961459548758,3.0993337940092514,8.522439724694959,7.022902393811844,3.1749245104439296,8.611055427298918
3,1.7870896778792345,4.573372729549768,4.621531619514182,1.6368119881136707,4.496405598873339,4.829516376291949
4,9.625878744113827,1.2993910709973033,0.9565956802218267,9.790498216330192,1.2427613779973476,0.9783794262546821
5,6.600400451120838,7.217155398241351,9.6825395854351,6.5028840346766525,7.280366278765413,9.582210468279952
6,3.073374262412567,8.640143113219668,7.891523311938025,2.915404871459635,8.406996839349507,7.740967790673782
7,9.072602638986018,0.15337341422139383,5.808440043904714,9.06271809896061,0.14089496322017805,5.836303040277796
8,0.2638558660942747,7.393501272765111,0.25958811032763984,0.33836733931777846,7.12119164765056,0.29132768337064596
9,2.989353555321659,4.36556509597036,8.532775687350703,2.8591008449062034,4.332032483375118,8.67490203585044
10,0.3567615451732442,0.8218173161158515,7.932492162544149,0.3527032148733373,0.8123655448213339,7.78591937648133
11,8.598311463885652,8.26534557566384,9.710839397306396,8.513186142308328,8.254359984184939,9.7333262078275
12,7.237388747756314,5.670369718005554,8.46497264472368,7.387102690761576,5.709995048378739,8.594254316156047
13,8.215366402195242,1.9264278767609588,6.196634610490123,8.110701398296774,1.784383055214183,5.993052587005113
14,0.594489199581143,0.9555846681450375,1.6045376889943852,0.5370087030352146,0.9014800528571895,1.4395441361532952
15,2.512810793762057,3.048098406437798,5.24577971123835,2.441987381704091,3.054980972185405,5.215314728790345
16,4.429955912016293,4.558047118300472,9.69563544709741,4.301831218124073,4.616265018190521,9.831229705642114
17,1.6985671499866095,0.8136610161885349,8.765596451864123,1.7130923238891282,0.8366444930246429,8.786959064148288
18,7.5034083475713995,4.079565238854173,5.620455855106145,7.604962546171368,4.140648124377878,5.506346448584437
19,5.6453998251175435,2.9641647026078566,8.19454475147282,5.731609624955412,2.934062295113092,8.120059792668698
20,3.9568698636042043,6.397839085126207,6.618457561206372,4.109421190778188,6.28170483591911,6.66720975384221
21,7.424677319784649,7.569144729735337,7.919824494170928,7.308579967361581,7.584408989388291,8.000734032074975
22,4.762661436894959,2.210575503542087,5.7812302452871,4.780343602473917,2.2576536134186362,5.70381298348416
23,5.3111929285414705,4.172543838132016,1.5366464069552055,5.486734364800609,3.962304515209813,1.5832430245340876
24,2.9632893389667814,6.224141917971484,1.061872124847305,2.8823881442554273,6.12411416454223,1.0756654608311933
25,0.8331846069748428,8.451347205230618,6.177095790681229,0.8535915992080856,8.476480219780335,6.217313634533326
26,1.9655824388179666,8.601935774269103,6.496580665902309,2.094010442132464,8.562374032628702,6.4976089686954355
27,1.7934774974142131,6.550713503807133,8.133322391815708,1.970317748257641,6.674550561242411,8.233871183685924
28,5.893613197661631,8.092021860944332,8.654674887017192,5.8084440776415,8.21604532247826,8.495657271600285
29,6.25988452475548,1.7372685734929472,7.881260002275292,6.294721709364793,1.770678216765166,7.8444583104725725
30,3.422462035730758,4.7400199167092225,7.901756591208873,3.4823887759862773,4.5987625733488775,7.837869370926091
31,1.2579663252698925,4.9308928034212185,7.77726351905593,1.289729478196385,4.8423579078922065,7.926259054874308
32,5.789289578525505,6.2377764196661865,1.2168751723434812,5.866120674021831,6.18690844386218,1.0917877397617544
33,4.806747840642622,5.735943351864144,5.192726837905576,4.725481164988238,5.585591870753425,5.297450631372175
34,5.5336359849827135,6.4794042942941115,5.043197737663544,5.471341239448323,6.525304316696342,5.152990642362354
35,0.2198270934370472,0.014281108427720568,7.365570321550853,0.23169343047468574,0.08306742262688123,7.400445011175793
36,9.090954948324805,4.990863146149871,5.675946300231139,8.989857292768331,4.8851239483438995,5.521056452608904
